ISO3166-1-Alpha-2,ISO3166-1-Alpha-3,Continent
AF,AFG,AS
AL,ALB,EU
DZ,DZA,AF
AS,ASM,OC
AD,AND,EU
AO,AGO,AF
AI,AIA,NA
AQ,ATA,AN
AG,ATG,NA
AR,ARG,SA
AM,ARM,AS
AW,ABW,NA
AU,AUS,OC
AT,AUT,EU
AZ,AZE,AS
BS,BHS,NA
BH,BHR,AS
BD,BGD,AS
BB,BRB,NA
BY,BLR,EU
BE,BEL,EU
BZ,BLZ,NA
BJ,BEN,AF
BM,BMU,NA
BT,BTN,AS
BO,BOL,SA
BA,BIH,EU
BW,BWA,AF
BV,BVT,AN
BR,BRA,SA
IO,IOT,AS
VG,VGB,NA
BN,BRN,AS
BG,BGR,EU
BF,BFA,AF
BI,BDI,AF
KH,KHM,AS
CM,CMR,AF
CA,CAN,NA
CV,CPV,AF
BQ,BES,NA
KY,CYM,NA
CF,CAF,AF
TD,TCD,AF
CL,CHL,SA
CN,CHN,AS
CX,CXR,AS
CC,CCK,AS
CO,COL,SA
KM,COM,AF
CG,COG,AF
CD,COD,AF
CK,COK,OC
CR,CRI,NA
HR,HRV,EU
CU,CUB,NA
CW,CUW,NA
CY,CYP,EU
CZ,CZE,EU
CI,CIV,AF
DK,DNK,EU
DJ,DJI,AF
DM,DMA,NA
DO,DOM,NA
EC,ECU,SA
EG,EGY,AF
SV,SLV,NA
GQ,GNQ,AF
ER,ERI,AF
EE,EST,EU
ET,ETH,AF
FK,FLK,SA
FO,FRO,EU
FJ,FJI,OC
FI,FIN,EU
FR,FRA,EU
GF,GUF,SA
PF,PYF,OC
TF,ATF,AN
GA,GAB,AF
GM,GMB,AF
GE,GEO,AS
DE,DEU,EU
GH,GHA,AF
GI,GIB,EU
GR,GRC,EU
GL,GRL,NA
GD,GRD,NA
GP,GLP,NA
GU,GUM,OC
GT,GTM,NA
GG,GGY,EU
GN,GIN,AF
GW,GNB,AF
GY,GUY,SA
HT,HTI,NA
HM,HMD,AN
HN,HND,NA
HK,HKG,AS
HU,HUN,EU
IS,ISL,EU
IN,IND,AS
ID,IDN,AS
IR,IRN,AS
IQ,IRQ,AS
IE,IRL,EU
IM,IMN,EU
IL,ISR,AS
IT,ITA,EU
JM,JAM,NA
JP,JPN,AS
JE,JEY,EU
JO,JOR,AS
KZ,KAZ,AS
KE,KEN,AF
KI,KIR,OC
KW,KWT,AS
KG,KGZ,AS
LA,LAO,AS
LV,LVA,EU
LB,LBN,AS
LS,LSO,AF
LR,LBR,AF
LY,LBY,AF
LI,LIE,EU
LT,LTU,EU
LU,LUX,EU
MO,MAC,AS
MK,MKD,EU
MG,MDG,AF
MW,MWI,AF
MY,MYS,AS
MV,MDV,AS
ML,MLI,AF
MT,MLT,EU
MH,MHL,OC
MQ,MTQ,NA
MR,MRT,AF
MU,MUS,AF
YT,MYT,AF
MX,MEX,NA
FM,FSM,OC
MD,MDA,EU
MC,MCO,EU
MN,MNG,AS
ME,MNE,EU
MS,MSR,NA
MA,MAR,AF
MZ,MOZ,AF
MM,MMR,AS
NA,NAM,AF
NR,NRU,OC
NP,NPL,AS
NL,NLD,EU
NC,NCL,OC
NZ,NZL,OC
NI,NIC,NA
NE,NER,AF
NG,NGA,AF
NU,NIU,OC
NF,NFK,OC
KP,PRK,AS
MP,MNP,OC
NO,NOR,EU
OM,OMN,AS
PK,PAK,AS
PW,PLW,OC
PS,PSE,AS
PA,PAN,NA
PG,PNG,OC
PY,PRY,SA
PE,PER,SA
PH,PHL,AS
PN,PCN,OC
PL,POL,EU
PT,PRT,EU
PR,PRI,NA
QA,QAT,AS
RO,ROU,EU
RU,RUS,EU
RW,RWA,AF
RE,REU,AF
WS,WSM,OC
SM,SMR,EU
SA,SAU,AS
SN,SEN,AF
RS,SRB,EU
SC,SYC,AF
SL,SLE,AF
SG,SGP,AS
SX,SXM,NA
SK,SVK,EU
SI,SVN,EU
SB,SLB,OC
SO,SOM,AF
ZA,ZAF,AF
GS,SGS,AN
KR,KOR,AS
SS,SSD,AF
ES,ESP,EU
LK,LKA,AS
BL,BLM,NA
SH,SHN,AF
KN,KNA,NA
LC,LCA,NA
MF,MAF,NA
PM,SPM,NA
VC,VCT,NA
SD,SDN,AF
SR,SUR,SA
SJ,SJM,EU
SZ,SWZ,AF
SE,SWE,EU
CH,CHE,EU
SY,SYR,AS
ST,STP,AF
TW,TWN,AS
TJ,TJK,AS
TZ,TZA,AF
TH,THA,AS
TL,TLS,OC
TG,TGO,AF
TK,TKL,OC
TO,TON,OC
TT,TTO,NA
TN,TUN,AF
TR,TUR,AS
TM,TKM,AS
TC,TCA,NA
TV,TUV,OC
UM,UMI,OC
VI,VIR,NA
GB,GBR,EU
US,USA,NA
UG,UGA,AF
UA,UKR,EU
AE,ARE,AS
UY,URY,SA
UZ,UZB,AS
VU,VUT,OC
VA,VAT,EU
VE,VEN,SA
VN,VNM,AS
WF,WLF,OC
EH,ESH,AF
YE,YEM,AS
ZM,ZMB,AF
ZW,ZWE,AF
AX,ALA,EU
